#gf_id	species	genes	lja	mtr	gma	mdo	fve	mes	rco	ptr	ath	aly	cpa	tca	vvi	osa	osaindica	bdi	sbi	zma	smo	ppa	olu	ota	mrcc299	vca	cre
HOM005708	18	25	1	1	2	5	1	1	1	1	1	1	1	1	1	2	2	1	1	1	0	0	0	0	0	0	0
HOM005714	18	25	1	1	2	2	1	2	1	2	1	1	1	1	3	1	1	1	1	2	0	0	0	0	0	0	0
HOM005735	18	25	2	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005748	18	25	1	1	2	5	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005765	18	25	1	1	4	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005783	18	25	1	2	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM005841	18	24	2	1	1	3	1	2	1	2	1	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0
HOM005874	18	24	1	1	2	2	1	2	2	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005948	18	24	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	2	2	1	0	0	0	0	0	0	0
HOM005955	18	24	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	0
HOM005975	18	24	1	1	2	1	2	2	1	3	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006045	18	23	1	1	2	3	1	1	1	2	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006046	18	23	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	0	0	0	0	0	0	0
HOM006056	18	23	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	0
HOM006060	18	23	1	1	2	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006077	18	23	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0
HOM006116	18	23	1	1	1	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006164	18	23	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	0	0	0	0	0	0	0
HOM006238	18	22	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	0	0	0	0	0	0
HOM006264	18	22	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	0	0	0	0	0	0	0
HOM006266	18	22	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006269	18	22	1	1	3	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM006296	18	22	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006425	18	21	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006447	18	21	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006460	18	21	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM006479	18	21	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006633	18	20	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006658	18	20	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006679	18	19	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006705	18	19	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM006708	18	19	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
