gf_id	gid
ORTHO000397	AT5G25820
ORTHO000397	AT5G37000
ORTHO001200	AT2G41800
ORTHO001200	AT2G41810
ORTHO001200	AT3G08030
ORTHO001021_1	AT3G51800
ORTHO001021_1	AT3G51820
ORTHO008166	AT4G10380
ORTHO008840	AT4G37000
ORTHO009492	AT5G53330
ORTHO000998	AT2G36160
ORTHO000998	AT3G11510
ORTHO000998	AT3G52580
ORTHO007513	AT5G09860
ORTHO009949	AT4G20350
ORTHO007223	AT5G11010
ORTHO008292	AT3G04560
ORTHO002061	AT1G16360
ORTHO002061	AT1G54320
ORTHO002061	AT1G79450
ORTHO002061	AT3G12740
ORTHO005677	AT3G48150
ORTHO003123	AT3G44260
ORTHO003123	AT5G22250
ORTHO008231	AT3G43720
ORTHO009657	AT5G58200
ORTHO005353	AT2G35720
ORTHO005415	AT5G03220
ORTHO005415	AT5G03500
ORTHO009710	AT1G60600
ORTHO002839	AT1G70410
ORTHO002839	AT5G14740
ORTHO004142	AT3G49560
ORTHO004142	AT5G24650
ORTHO003754	AT4G36720
ORTHO002973	AT1G15760
ORTHO002973	AT1G80520
ORTHO009615	AT4G01600
ORTHO003627	AT3G42670
ORTHO003627	AT5G20420
ORTHO003668	AT3G46920
ORTHO002571	AT2G47810
ORTHO006671	AT2G37690
ORTHO003808	AT1G22882
ORTHO003808	AT1G71360
ORTHO007326	AT2G37960
ORTHO008028	AT3G07760
ORTHO000509	AT1G59950
ORTHO000509	AT1G59960
ORTHO006607	AT1G07950
ORTHO006607	AT1G16430
ORTHO003502	AT1G31180
ORTHO003502	AT1G80560
ORTHO003502	AT5G14200
ORTHO005252	AT3G13940
ORTHO010205	AT5G39960
ORTHO008393	AT4G39520
ORTHO004420	AT5G28740
ORTHO009783	AT4G30580
ORTHO003788	AT2G05070
ORTHO003788	AT2G05100
ORTHO003788	AT3G27690
ORTHO000534	AT2G27040
ORTHO000534	AT2G32940
ORTHO000534	AT5G21030
ORTHO000534	AT5G21150
ORTHO000940	AT1G28240
ORTHO000940	AT1G53040
ORTHO007866	AT4G29960
ORTHO007886	AT3G56040
ORTHO005518	AT4G28950
ORTHO005923	AT3G60850
ORTHO005557	AT5G61060
ORTHO005557	AT5G61070
ORTHO008373	AT3G52210
ORTHO006422	AT5G24680
ORTHO008083	AT5G37830
ORTHO004587	AT4G11860
ORTHO004858	AT5G12340
ORTHO003908	AT3G16370
ORTHO010115	AT3G24030
ORTHO007427	AT4G13670
ORTHO004214	AT1G35470
ORTHO004214	AT4G09340
ORTHO001056	AT3G05750
ORTHO001056	AT3G58650
ORTHO001056	AT5G26910
ORTHO008209	AT5G51110
ORTHO010841	AT3G58530
ORTHO010906	AT2G21350
ORTHO006316	AT5G19350
ORTHO002403	AT2G25590
ORTHO002403	AT4G32440
ORTHO002403	AT5G20030
ORTHO001246	AT2G24360
ORTHO001246	AT4G31170
ORTHO002184	AT5G46910
ORTHO006691	AT5G20070
ORTHO011715	AT3G47530
ORTHO002298	AT1G21070
ORTHO002298	AT1G76670
ORTHO002298	AT5G42420
ORTHO004520	AT1G61740
ORTHO004520	AT4G21250
ORTHO004922	AT1G13160
ORTHO004922	AT4G31520
ORTHO009971	AT3G53090
ORTHO003207	AT1G68590
ORTHO003207	AT5G15760
ORTHO002481	AT5G01660
ORTHO005496	AT5G65220
ORTHO005128	AT1G22450
ORTHO005657	AT5G56290
ORTHO006934	AT1G28760
ORTHO003103	AT1G32750
ORTHO003103	AT3G19040
ORTHO004162	AT4G01660
ORTHO003774	AT1G29680
ORTHO003774	AT5G45690
ORTHO006378	AT3G02650
ORTHO002819	AT1G62610
ORTHO002819	AT1G63380
ORTHO002819	AT2G17845
ORTHO002819	AT3G46170
ORTHO002819	AT3G55290
ORTHO002819	AT3G55310
ORTHO005293	AT4G27350
ORTHO005293	AT5G54240
ORTHO009266	AT3G47120
ORTHO006127	AT3G01780
ORTHO004235	AT3G07220
ORTHO004235	AT3G07260
ORTHO007406	AT1G08640
ORTHO008146	AT3G27550
ORTHO006544	AT2G18040
ORTHO004018	AT1G11250
ORTHO004018	AT1G61290
ORTHO002359	AT2G23290
ORTHO002359	AT4G37260
ORTHO002359	AT5G67300
ORTHO003040	AT3G55960
ORTHO008352	AT5G13970
ORTHO010228	AT4G21585
ORTHO007723	AT1G16870
ORTHO005230	AT1G18900
ORTHO005230	AT1G74750
ORTHO002799	AT2G15730
ORTHO002799	AT4G34420
ORTHO004296	AT2G34780
ORTHO004296	AT3G44700
ORTHO001193	AT1G04240
ORTHO001193	AT5G43700
ORTHO007574	AT3G06320
ORTHO007574	AT5G18790
ORTHO006294	AT5G01990
ORTHO004276	AT3G07300
ORTHO009452	AT5G11680
ORTHO007117	AT5G25530
ORTHO007158	AT5G23290
ORTHO004899	AT5G09570
ORTHO001220_1	AT3G17205
ORTHO001220_1	AT5G49930
ORTHO005273	AT5G20850
ORTHO003584	AT3G50770
ORTHO003733	AT2G32950
ORTHO001696	AT1G75640
ORTHO001696	AT4G36180
ORTHO000854	AT3G48850
ORTHO000854	AT5G14040
ORTHO002585	AT1G51630
ORTHO002585	AT3G21190
ORTHO000419_2	AT3G01990
ORTHO000419_3	AT1G69040
ORTHO000419_3	AT2G03730
ORTHO004756	AT5G20650
ORTHO008252	AT2G41380
ORTHO007655	AT2G04360
ORTHO006503	AT5G61040
ORTHO009043	AT4G16450
ORTHO007764	AT4G33350
ORTHO004121	AT3G06590
ORTHO004121	AT3G17100
ORTHO002952	AT1G16920
ORTHO002952	AT4G18800
ORTHO002952	AT5G45750
ORTHO010457	AT1G31170
ORTHO002763	AT4G38900
ORTHO001498	AT5G57330
ORTHO001299	AT2G17800
ORTHO001299	AT3G51300
ORTHO001299	AT4G35020
ORTHO001299	AT4G35950
ORTHO010013	AT3G07060
ORTHO001768	AT1G17880
ORTHO001768	AT1G73230
ORTHO003949	AT4G33910
ORTHO008126	AT1G45688
ORTHO005044	AT5G16270
ORTHO006147	AT5G11260
ORTHO004255	AT4G28088
ORTHO004255	AT4G30660
ORTHO002999	AT1G80930
ORTHO010537	AT3G03773
ORTHO011127	AT3G22150
ORTHO001402	AT3G48050
ORTHO001402	AT3G48060
ORTHO001344	AT1G45249
ORTHO001344	AT4G34000
ORTHO004078	AT3G08960
ORTHO008800	AT1G35680
ORTHO006463	AT2G43650
ORTHO008332	AT4G27700
ORTHO009595	AT2G38060
ORTHO011151	AT1G05750
ORTHO004561	AT3G11920
ORTHO005637	AT3G56930
ORTHO009909	AT1G01920
ORTHO000333	AT3G03480
ORTHO000333	AT5G17540
ORTHO007927	AT5G38900
ORTHO004316	AT1G42550
ORTHO007968	AT1G22700
ORTHO007553	AT3G18790
ORTHO005148	AT1G67740
ORTHO006004	AT5G13570
ORTHO003998	AT1G22870
ORTHO003998	AT1G71410
ORTHO006357	AT2G34260
ORTHO002243	AT1G15740
ORTHO005455	AT4G13040
ORTHO003163	AT1G68920
ORTHO006954	AT1G67590
ORTHO009390	AT2G29640
ORTHO001537_1	AT5G01400
ORTHO001537_2	AT1G27595
ORTHO001943	AT1G24300
ORTHO001943	AT1G27430
ORTHO006813	AT1G66680
ORTHO001578	AT1G11680
ORTHO000789_1	AT1G79920
ORTHO000789_1	AT1G79930
ORTHO000789_2	AT1G11660
ORTHO001668	AT3G12500
ORTHO000436_1	AT2G36460
ORTHO000436_1	AT3G52930
ORTHO000436_1	AT5G03690
ORTHO000436_2	AT4G26520
ORTHO000436_2	AT4G26530
ORTHO008627	AT4G27640
ORTHO000681	AT1G78130
ORTHO000681	AT5G10190
ORTHO004194	AT4G18480
ORTHO004194	AT5G45930
ORTHO007097	AT3G20420
ORTHO001716	AT1G26190
ORTHO001716	AT1G73980
ORTHO008759	AT1G29070
ORTHO008050	AT5G63920
ORTHO008716	AT3G10150
ORTHO000897	AT2G29050
ORTHO000897	AT5G02250
ORTHO004607	AT1G61850
ORTHO007988	AT5G19850
ORTHO006253	AT1G15730
ORTHO006253	AT1G80480
ORTHO001303	AT1G50660
ORTHO001303	AT3G20350
ORTHO010437	AT3G57790
ORTHO002932	AT3G06483
ORTHO003397	AT5G23720
ORTHO005191	AT1G50740
ORTHO005191	AT3G20510
ORTHO010348	AT3G58470
ORTHO004736	AT3G23830
ORTHO004736	AT4G13850
ORTHO007635	AT1G12410
ORTHO008433	AT4G19400
ORTHO009023	AT5G42320
ORTHO003187	AT1G56150
ORTHO003187	AT3G12830
ORTHO000575	AT1G54490
ORTHO000575	AT1G75660
ORTHO000575	AT5G42540
ORTHO006483	AT3G18770
ORTHO003277	AT4G19170
ORTHO009575	AT3G52260
ORTHO010716	AT5G35670
ORTHO007138	AT3G04970
ORTHO001478_1	AT4G34850
ORTHO006854	AT1G06110
ORTHO009137	AT3G06920
ORTHO003482	AT2G26080
ORTHO003482	AT4G33010
ORTHO002424	AT5G41761
ORTHO005759	AT5G10750
ORTHO004440	AT5G50960
ORTHO010778	AT3G43540
ORTHO002701	AT3G50820
ORTHO002701	AT5G66570
ORTHO007015	AT5G52800
ORTHO002511	AT1G17960
ORTHO002511	AT5G26830
ORTHO008921	AT1G48520
ORTHO000744	AT1G61630
ORTHO000744	AT3G09990
ORTHO000744	AT4G05110
ORTHO000744	AT4G05120
ORTHO000744	AT4G05130
ORTHO000744	AT4G05140
ORTHO009368	AT3G18890
ORTHO008737	AT1G01860
ORTHO003562	AT4G28706
ORTHO003562	AT5G43910
ORTHO008670	AT2G18510
ORTHO000815	AT1G23760
ORTHO000815	AT1G60390
ORTHO000815	AT1G70370
ORTHO000351_1	AT2G23460
ORTHO000351_1	AT4G34390
ORTHO000351_2	AT1G31930
ORTHO010075	AT3G27110
ORTHO008649	AT2G36360
ORTHO006995	AT2G31670
ORTHO007346	AT3G42660
ORTHO003868	AT4G01150
ORTHO010095	AT1G20770
ORTHO008516	AT3G13170
ORTHO001825	AT4G25650
ORTHO003604	AT2G15220
ORTHO006208	AT4G09140
ORTHO009106	AT1G12790
ORTHO010821	AT4G21520
ORTHO003320	AT2G25060
ORTHO003320	AT4G31840
ORTHO000911	AT2G39980
ORTHO000911	AT5G01210
ORTHO004942	AT1G20370
ORTHO004942	AT1G76120
ORTHO007906	AT5G24490
ORTHO004378	AT4G31300
ORTHO004337	AT1G47250
ORTHO004337	AT5G42790
ORTHO011198	AT2G17705
ORTHO003356	AT3G47060
ORTHO003356	AT5G58870
ORTHO004540	AT5G16280
ORTHO001929	AT3G22740
ORTHO001929	AT3G63250
ORTHO008455	AT1G18440
ORTHO000284_1	AT2G16430
ORTHO000284_1	AT2G27190
ORTHO000284_3	AT5G34850
ORTHO007492	AT1G12520
ORTHO008694	AT5G64670
ORTHO010559	AT1G28320
ORTHO011106	AT5G55740
ORTHO005395	AT3G02900
ORTHO005395	AT5G16660
ORTHO010886	AT1G74530
ORTHO002143	AT5G19990
ORTHO002143	AT5G20000
ORTHO002605	AT3G51640
ORTHO002605	AT3G51650
ORTHO003215	AT3G22530
ORTHO003215	AT4G14830
ORTHO004838	AT5G23140
ORTHO007447	AT4G19010
ORTHO006711	AT3G43860
ORTHO001987	AT1G11925
ORTHO005717	AT3G56160
ORTHO009555	AT1G48170
ORTHO002101_1	AT5G46110
ORTHO003257	AT1G67570
ORTHO008603	AT1G26940
ORTHO010137	AT5G26880
ORTHO002046	AT3G19950
ORTHO011459	AT4G39740
ORTHO009179	AT1G50300
ORTHO005901	AT3G10550
ORTHO005901	AT5G04540
ORTHO005084	AT4G04020
ORTHO005084	AT4G22240
ORTHO006400	AT2G02990
ORTHO010919	AT2G44290
ORTHO010919	AT2G44300
ORTHO006874	AT5G26610
ORTHO007200	AT5G58770
ORTHO008983	AT2G44850
ORTHO001648	AT1G05490
ORTHO001648	AT3G24340
ORTHO006067	AT1G65720
ORTHO008779	AT4G27120
ORTHO000369_1	AT1G62710
ORTHO000369_2	AT2G25940
ORTHO000369_2	AT4G32940
ORTHO005023	AT4G12730
ORTHO007530	AT2G45870
ORTHO007530	AT3G61320
ORTHO002912	AT4G11800
ORTHO002912	AT4G23000
ORTHO009733	AT5G63970
ORTHO004399	AT4G33480
ORTHO004627	AT5G53140
ORTHO009003	AT4G35250
ORTHO008413	AT5G40530
ORTHO007615	AT1G65020
ORTHO010327	AT3G54460
ORTHO009929	AT2G25570
ORTHO006024	AT3G13330
ORTHO005168	AT2G24820
ORTHO007948	AT5G38660
ORTHO005333	AT3G44330
ORTHO005475	AT5G37370
ORTHO001852	AT1G09310
ORTHO001852	AT1G56580
ORTHO006087	AT5G57390
ORTHO001691	AT1G79770
ORTHO001691	AT5G25840
ORTHO000588	AT1G72110
ORTHO000588	AT2G38995
ORTHO000588	AT3G49190
ORTHO000588	AT3G49200
ORTHO000588	AT3G49210
ORTHO000588	AT5G37300
ORTHO000588	AT5G53390
ORTHO006833	AT4G14110
ORTHO002860	AT3G01015
ORTHO002860	AT5G15510
ORTHO006974	AT5G26820
ORTHO003143	AT2G19830
ORTHO003143	AT4G29160
ORTHO001748	AT3G13210
ORTHO001748	AT3G51110
ORTHO001748	AT5G41770
ORTHO001748	AT5G45990
ORTHO008106	AT2G02570
ORTHO003969	AT1G16840
ORTHO003969	AT1G78890
ORTHO006894	AT3G09720
ORTHO010033	AT2G17670
ORTHO002005	AT5G55300
ORTHO002005	AT5G55310
ORTHO009825	AT5G51720
ORTHO001149	AT1G07790
ORTHO001149	AT2G28720
ORTHO001149	AT3G45980
ORTHO002383	AT1G05360
ORTHO002383	AT4G14950
ORTHO005064	AT2G33360
ORTHO006167	AT4G12750
ORTHO005536	AT3G05190
ORTHO005536	AT5G27410
ORTHO008312	AT1G15200
ORTHO008820	AT2G39650
ORTHO004058	AT5G15680
ORTHO002338	AT1G04950
ORTHO002338	AT1G54360
ORTHO008475	AT4G01200
ORTHO001909	AT1G28220
ORTHO001909	AT1G28230
ORTHO004480	AT4G02620
ORTHO005799	AT2G20920
ORTHO005963	AT3G18400
ORTHO003711	AT4G14330
ORTHO006731	AT3G59400
ORTHO006586	AT1G76070
ORTHO008060	AT1G66520
ORTHO003235	AT1G28090
ORTHO003235	AT3G48830
ORTHO003235	AT5G23690
ORTHO004818	AT1G10200
ORTHO007266	AT3G24590
ORTHO002163	AT5G55560
ORTHO004694	AT4G24330
ORTHO004694	AT5G49945
ORTHO002625	AT2G27500
ORTHO003082	AT5G26330
ORTHO007386	AT5G45590
ORTHO005819	AT1G29060
ORTHO005819	AT4G14600
ORTHO008536	AT3G29390
ORTHO000727	AT2G33210
ORTHO000727	AT3G13860
ORTHO000727	AT3G23990
ORTHO001805	AT2G22310
ORTHO001805	AT4G39910
ORTHO002504	AT3G46130
ORTHO002504	AT5G59780
ORTHO010801	AT4G17760
ORTHO001873	AT1G69530
ORTHO001873	AT2G03090
ORTHO004358	AT5G65660
ORTHO004962	AT2G45150
ORTHO004962	AT3G60620
ORTHO002531	AT1G11170
ORTHO002531	AT1G61240
ORTHO008901	AT3G16840
ORTHO001432	AT1G18620
ORTHO001432	AT1G74160
ORTHO007035	AT1G03150
ORTHO002439	AT1G09210
ORTHO002439	AT1G56340
ORTHO001084	AT1G16980
ORTHO001084	AT1G17000
ORTHO001084	AT1G78580
ORTHO001084	AT4G27550
ORTHO004649	AT1G78600
ORTHO005863	AT1G20816
ORTHO005863	AT1G76405
ORTHO004982	AT1G80570
ORTHO010370	AT2G20860
ORTHO005002	AT5G19280
ORTHO003542	AT1G14710
ORTHO009348	AT2G14095
ORTHO006046	AT1G18450
ORTHO007366	AT1G04190
ORTHO003848	AT5G41800
ORTHO003335	AT2G19390
ORTHO003335	AT4G29790
ORTHO001027	AT1G60500
ORTHO001027	AT1G60530
ORTHO002124	AT2G15780
ORTHO000478	AT1G20840
ORTHO000478	AT3G51490
ORTHO000478	AT4G35300
ORTHO000760_1	AT3G56640
ORTHO000760_2	AT4G02350
ORTHO006566	AT1G11380
ORTHO007286	AT1G65260
ORTHO009760	AT5G42850
ORTHO004674	AT2G25880
ORTHO004674	AT4G32830
ORTHO001278	AT5G07320
ORTHO001278	AT5G51050
ORTHO001278	AT5G61810
ORTHO003062	AT3G25070
ORTHO007701	AT4G22000
ORTHO009158	AT4G35540
ORTHO005983	AT5G15100
ORTHO000303_1	AT3G19270
ORTHO000303_2	AT4G19230
ORTHO000303_2	AT5G45340
ORTHO011371	AT5G37360
ORTHO010160	AT1G52590
ORTHO007826	AT1G08700
ORTHO002721	AT1G01170
ORTHO002721	AT4G00860
ORTHO003438	AT1G43700
ORTHO002666	AT4G38760
ORTHO008495	AT1G71692
ORTHO004460	AT1G55900
ORTHO010758	AT3G48470
ORTHO009085	AT5G01110
ORTHO003009	AT3G54400
ORTHO003009	AT5G07030
ORTHO005240	AT1G33680
ORTHO005240	AT4G10070
ORTHO010527	AT3G15900
ORTHO005506	AT5G47870
ORTHO004068	AT5G19040
ORTHO006534	AT1G63680
ORTHO006473	AT1G71990
ORTHO008810	AT5G54290
ORTHO003287	AT4G17330
ORTHO007063	AT1G37150
ORTHO007063	AT2G25710
ORTHO009585	AT2G36835
ORTHO008322	AT1G27950
ORTHO001488	AT5G07670
ORTHO001488	AT5G51370
ORTHO001488	AT5G51380
ORTHO010003	AT3G28460
ORTHO003093	AT2G25730
ORTHO003959	AT4G30630
ORTHO003959	AT5G57910
ORTHO008136	AT4G31770
ORTHO005054	AT1G68070
ORTHO006157	AT5G08520
ORTHO002989	AT1G17820
ORTHO002989	AT1G73200
ORTHO004245	AT4G11010
ORTHO004245	AT4G23895
ORTHO004245	AT4G23900
ORTHO003988	AT1G49780
ORTHO003988	AT3G19380
ORTHO006347	AT3G07750
ORTHO005303	AT3G47980
ORTHO005303	AT5G62720
ORTHO002253	AT4G17670
ORTHO002253	AT5G47060
ORTHO005445	AT4G16310
ORTHO003173	AT5G02140
ORTHO009380	AT5G05660
ORTHO006944	AT1G32050
ORTHO001527	AT3G45870
ORTHO001527	AT4G19185
ORTHO001527	AT5G45370
ORTHO006803	AT1G78800
ORTHO001568	AT3G09630
ORTHO001568	AT5G02870
ORTHO001953	AT1G47210
ORTHO001953	AT1G47230
ORTHO001953	AT5G43080
ORTHO000956	AT3G20290
ORTHO000956	AT4G05520
ORTHO005627	AT5G57770
ORTHO007937	AT1G78650
ORTHO007543	AT5G65770
ORTHO007543	AT5G65780
ORTHO004306	AT2G27350
ORTHO010381	AT2G01918
ORTHO005158	AT3G10920
ORTHO005117	AT1G22740
ORTHO005117	AT4G09720
ORTHO006014	AT1G14620
ORTHO010269	AT5G27660
ORTHO004617	AT4G16440
ORTHO000887_1	AT2G11810
ORTHO000887_1	AT5G20410
ORTHO000887_2	AT4G31780
ORTHO006304	AT1G52630
ORTHO007998	AT2G30280
ORTHO001313	AT2G17190
ORTHO001313	AT2G17200
ORTHO006243	AT2G47980
ORTHO002922	AT3G53540
ORTHO004726	AT3G07050
ORTHO007625	AT1G61590
ORTHO000775	AT1G44130
ORTHO000775	AT1G77480
ORTHO000775	AT4G33490
ORTHO002196	AT2G38610
ORTHO002196	AT3G08620
ORTHO008423	AT4G36420
ORTHO009033	AT4G25540
ORTHO004909	AT2G36060
ORTHO004909	AT3G52560
ORTHO001678	AT2G28780
ORTHO001678	AT3G09450
ORTHO001588	AT1G07140
ORTHO001588	AT2G30060
ORTHO001588	AT5G58590
ORTHO001706	AT2G28080
ORTHO001706	AT2G36970
ORTHO008706	AT1G14205
ORTHO010423	AT3G02065
ORTHO007128	AT5G14260
ORTHO006844	AT2G16050
ORTHO004088	AT5G06750
ORTHO009856	AT3G05390
ORTHO006493	AT4G21820
ORTHO005727	AT3G46450
ORTHO009565	AT1G08660
ORTHO011469	AT5G49560
ORTHO010150	AT3G15140
ORTHO000274_1	AT2G04750
ORTHO000274_1	AT4G26700
ORTHO000274_1	AT5G35700
ORTHO000274_1	AT5G48460
ORTHO000274_1	AT5G48470
ORTHO000274_1	AT5G55400
ORTHO004450	AT2G44350
ORTHO004450	AT3G60100
ORTHO005749	AT3G58800
ORTHO003246	AT5G22300
ORTHO002656	AT4G19640
ORTHO002656	AT5G45130
ORTHO002711	AT2G45440
ORTHO002711	AT3G60880
ORTHO006411	AT4G21770
ORTHO000658_1	AT1G73450
ORTHO000658_1	AT1G73460
ORTHO000658_1	AT2G40120
ORTHO000658_1	AT3G17750
ORTHO003492	AT1G60170
ORTHO005095	AT1G67960
ORTHO004174	AT2G25610
ORTHO002493	AT1G72230
ORTHO008660	AT5G24970
ORTHO001727	AT5G20610
ORTHO001727	AT5G26160
ORTHO007211	AT5G03860
ORTHO008616	AT1G62990
ORTHO003878	AT5G51230
ORTHO007356	AT3G46780
ORTHO007005	AT5G44310
ORTHO008931	AT4G11440
ORTHO004388	AT4G17510
ORTHO000901	AT1G10050
ORTHO000901	AT1G58370
ORTHO000901	AT4G08160
ORTHO006035	AT5G67130
ORTHO004368	AT1G24590
ORTHO004327	AT2G26280
ORTHO000830	AT1G04050
ORTHO000830	AT3G04380
ORTHO000830	AT5G43990
ORTHO011188	AT3G01920
ORTHO003346	AT1G54110
ORTHO003346	AT3G55600
ORTHO003614	AT5G53280
ORTHO008972	AT2G03670
ORTHO003898	AT5G17300
ORTHO005829	AT5G07360
ORTHO009116	AT1G47578
ORTHO009116	AT4G31050
ORTHO001236_1	AT5G51820
ORTHO001236_2	AT1G23190
ORTHO001236_2	AT1G70730
ORTHO010896	AT4G29400
ORTHO002153	AT1G07030
ORTHO002153	AT2G30160
ORTHO002615	AT4G21705
ORTHO007256	AT2G12550
ORTHO004828	AT3G20070
ORTHO006701	AT4G18040
ORTHO007482	AT3G08800
ORTHO008684	AT5G63480
ORTHO003721	AT3G44530
ORTHO005953	AT4G22790
ORTHO002373	AT2G41630
ORTHO002373	AT3G10330
ORTHO006864	AT5G59400
ORTHO005707	AT5G47390
ORTHO009545	AT1G08220
ORTHO002056	AT3G48660
ORTHO002056	AT5G63500
ORTHO010658	AT1G10720
ORTHO011449	AT1G32520
ORTHO010873	AT1G11900
ORTHO001333	AT3G62900
ORTHO001333	AT4G15730
ORTHO004637	AT3G49580
ORTHO004637	AT5G24660
ORTHO000664	AT1G08210
ORTHO000664	AT2G36670
ORTHO000664	AT5G22850
ORTHO009013	AT1G53250
ORTHO008403	AT4G28020
ORTHO000612	AT1G77120
ORTHO007605	AT1G24610
ORTHO010064	AT1G51550
ORTHO008993	AT1G08460
ORTHO001658	AT2G22240
ORTHO001658	AT4G39800
ORTHO001658	AT5G10170
ORTHO006984	AT2G31040
ORTHO005485	AT4G34190
ORTHO000537	AT1G05890
ORTHO000537	AT1G65430
ORTHO000537	AT2G31510
ORTHO000537	AT2G31760
ORTHO000537	AT2G31770
ORTHO000537	AT2G31780
ORTHO008726	AT1G78010
ORTHO008769	AT3G21300
ORTHO000336_1	AT1G17340
ORTHO000336_1	AT3G14205
ORTHO000336_1	AT3G43220
ORTHO000336_1	AT5G20840
ORTHO005323	AT5G14790
ORTHO002273	AT1G49405
ORTHO002273	AT3G50810
ORTHO002273	AT4G37235
ORTHO006220	AT4G26470
ORTHO005465	AT3G47470
ORTHO001842	AT2G16570
ORTHO001842	AT4G34740
ORTHO001842	AT4G38880
ORTHO008789	AT4G37920
ORTHO011054	AT3G07580
ORTHO004132	AT2G21270
ORTHO002849	AT5G42180
ORTHO006823	AT4G38240
ORTHO001548	AT1G08650
ORTHO001548	AT3G04530
ORTHO006964	AT4G18240
ORTHO003153	AT3G52500
ORTHO009939	AT1G49170
ORTHO000976	AT1G55250
ORTHO000976	AT2G44950
ORTHO005607	AT1G09830
ORTHO004551	AT2G22120
ORTHO005178	AT4G34410
ORTHO007958	AT4G25170
ORTHO007917	AT5G65490
ORTHO009232	AT5G42470
ORTHO010548	AT4G25280
ORTHO003029	AT1G06040
ORTHO003029	AT2G31380
ORTHO010507	AT1G29040
ORTHO008302	AT5G39590
ORTHO006453	AT5G37690
ORTHO008830	AT1G02330
ORTHO010789	AT5G48340
ORTHO004048	AT3G20050
ORTHO001758	AT2G46320
ORTHO001758	AT4G27940
ORTHO008116	AT4G16630
ORTHO003979	AT2G28690
ORTHO010023	AT4G29860
ORTHO006884	AT3G06540
ORTHO002015	AT2G39460
ORTHO002015	AT3G55280
ORTHO009835	AT5G16420
ORTHO004265	AT3G10530
ORTHO002393	AT1G34300
ORTHO005074	AT1G64860
ORTHO006721	AT1G34630
ORTHO006596	AT1G52500
ORTHO003225	AT1G01300
ORTHO003225	AT3G61820
ORTHO001779	AT1G17455
ORTHO001779	AT1G72630
ORTHO001779	AT2G06255
ORTHO007276	AT2G30080
ORTHO002173	AT1G74470
ORTHO004684	AT3G22440
ORTHO004684	AT4G14900
ORTHO001288	AT1G55840
ORTHO001288	AT5G47730
ORTHO002635	AT5G63700
ORTHO002328	AT3G06260
ORTHO001795_2	AT1G23460
ORTHO001795_2	AT1G70500
