gf-id	num-genes	num-species	ath	bra	cpa	ptr	mtr	gma	cme	pbr	vvi	sly
HOMSTM000135	385	14	21	34	20	43	31	53	18	23	19	31
HOMSTM000137	380	14	25	51	18	34	22	48	22	31	24	21
HOMSTM000138	380	14	14	26	19	35	42	33	18	42	15	21
HOMSTM000139	378	14	34	44	17	29	28	40	15	39	14	37
HOMSTM000140	377	14	13	22	24	36	27	41	18	24	22	25
HOMSTM000141	373	14	19	27	26	33	29	43	22	36	18	25
HOMSTM000142	372	14	25	38	25	30	23	30	16	33	40	23
HOMSTM000143	369	14	16	33	16	36	28	47	22	26	10	22
HOMSTM000144	363	14	21	32	25	34	22	43	19	39	18	17
HOMSTM000145	363	14	22	36	27	22	27	52	41	21	29	21
HOMSTM000146	360	14	23	26	27	27	35	42	25	29	16	21
HOMSTM000147	360	14	24	46	16	28	31	48	20	22	14	23
HOMSTM000148	358	14	19	29	12	34	26	46	22	33	26	21
HOMSTM000149	358	14	14	19	22	29	28	53	23	32	31	21
HOMSTM000151	355	14	21	34	11	25	57	53	16	28	10	18
HOMSTM000152	353	14	20	32	20	27	36	44	20	36	18	20
HOMSTM000154	346	14	23	37	19	25	40	46	20	23	17	27
HOMSTM000155	346	14	20	34	17	27	25	43	18	64	15	22
HOMSTM000156	344	14	26	54	19	23	25	38	15	26	10	18
HOMSTM000157	343	14	26	49	18	31	44	40	17	27	17	24
HOMSTM000158	340	14	17	36	15	28	27	52	19	23	17	31
HOMSTM000159	339	14	5	1	1	78	5	12	3	8	2	29
HOMSTM000160	338	14	14	18	13	21	31	36	13	29	12	20
HOMSTM000161	337	14	15	26	21	36	25	41	12	42	23	26
HOMSTM000162	333	14	17	29	15	31	24	46	17	34	19	16
HOMSTM000163	332	14	18	33	13	18	40	38	13	23	11	53
HOMSTM000164	332	14	31	38	8	22	21	39	21	22	6	30
HOMSTM000165	330	14	24	40	13	22	28	35	13	23	31	21
HOMSTM000166	329	14	17	31	17	32	21	37	13	31	24	19
HOMSTM000167	329	14	16	20	8	33	42	27	39	33	9	11
HOMSTM000168	322	14	21	31	16	25	26	36	17	26	17	31
HOMSTM000169	321	14	20	31	16	32	21	49	21	25	20	21
HOMSTM000171	315	14	24	38	15	28	21	34	18	26	16	17
HOMSTM000172	313	14	6	14	17	22	43	56	32	26	15	29
HOMSTM000173	310	14	17	35	17	32	15	31	13	35	17	20
HOMSTM000174	310	14	16	33	12	24	23	41	16	25	16	19
HOMSTM000175	309	14	23	36	14	23	27	35	15	25	13	25
HOMSTM000176	308	14	18	36	9	25	18	39	18	23	10	16
HOMSTM000177	304	14	18	32	12	21	18	42	14	26	15	29
HOMSTM000178	298	14	21	39	13	22	26	35	17	25	12	17
HOMSTM000179	298	14	16	31	10	25	27	39	13	25	16	23
HOMSTM000181	295	14	16	35	15	28	13	53	19	19	15	19
HOMSTM000183	294	14	19	25	118	6	43	24	3	21	1	2
HOMSTM000184	294	14	22	31	8	19	21	24	17	36	11	20
HOMSTM000187	290	14	14	15	7	17	23	18	10	10	6	21
HOMSTM000189	287	14	14	24	15	28	26	34	15	23	16	15
HOMSTM000190	285	14	12	14	15	38	31	32	19	25	17	20
HOMSTM000191	283	14	19	32	15	21	27	39	17	28	15	22
HOMSTM000192	281	14	14	19	13	33	23	42	14	35	20	28
HOMSTM000193	281	14	16	19	18	24	19	32	17	30	16	11
HOMSTM000194	279	14	13	23	10	22	14	27	11	17	17	30
HOMSTM000195	278	14	17	32	12	21	20	51	13	19	11	22
HOMSTM000197	277	14	15	21	41	13	19	31	27	23	13	12
HOMSTM000198	277	14	15	23	21	28	15	44	15	28	18	17
HOMSTM000199	276	14	10	15	10	18	30	30	8	23	15	20
HOMSTM000200	276	14	10	17	13	15	19	35	20	37	7	14
HOMSTM000201	275	14	20	28	14	15	23	31	14	17	29	20
HOMSTM000202	273	14	20	29	9	30	19	23	12	25	17	30
HOMSTM000204	271	14	21	4	9	33	41	26	12	13	12	17
HOMSTM000205	271	14	13	20	11	21	20	32	25	27	13	20
HOMSTM000206	270	14	13	23	11	17	30	25	11	20	15	26
HOMSTM000207	270	14	24	36	22	23	18	34	11	13	25	17
HOMSTM000208	269	14	15	18	14	22	29	30	16	27	13	16
HOMSTM000209	269	14	15	10	16	20	20	14	13	34	58	10
HOMSTM000210	265	14	8	19	11	24	31	37	7	17	19	8
HOMSTM000214	258	14	17	33	11	17	35	33	12	27	9	20
HOMSTM000215	258	14	15	27	11	22	25	45	16	20	6	13
HOMSTM000216	255	14	10	15	8	10	12	28	15	11	10	14
HOMSTM000217	254	14	20	44	10	14	17	29	10	18	9	33
HOMSTM000218	252	14	16	23	20	16	25	30	7	25	18	24
HOMSTM000219	252	14	15	22	11	20	31	42	13	16	9	24
HOMSTM000221	251	14	15	25	8	13	29	21	7	13	31	14
HOMSTM000222	250	14	10	18	14	24	15	39	13	26	15	16
HOMSTM000223	249	14	10	16	18	22	20	46	10	24	21	13
HOMSTM000225	247	14	13	10	17	24	22	23	15	19	12	16
HOMSTM000226	247	14	17	21	13	26	23	29	11	25	14	18
HOMSTM000227	247	14	15	17	13	23	27	36	12	24	14	20
HOMSTM000228	246	14	12	17	14	24	25	31	16	26	21	15
HOMSTM000229	246	14	11	20	10	21	19	41	11	18	11	14
HOMSTM000230	246	14	10	13	16	16	24	30	16	22	23	12
HOMSTM000232	244	14	13	24	10	18	40	26	12	13	7	14
HOMSTM000233	243	14	15	17	13	21	22	34	14	32	15	18
HOMSTM000235	242	14	12	23	11	22	13	29	13	22	10	20
HOMSTM000236	240	14	13	23	8	29	37	28	8	25	6	5
HOMSTM000237	240	14	16	26	12	18	20	40	14	15	14	16
HOMSTM000238	240	14	5	8	11	20	53	28	8	21	16	14
HOMSTM000240	238	14	12	25	12	14	17	29	5	53	10	25
HOMSTM000241	238	14	13	20	19	16	35	25	3	23	6	29
HOMSTM000243	237	14	14	27	7	21	12	14	11	18	14	28
HOMSTM000244	235	14	13	23	11	21	23	32	10	15	13	21
HOMSTM000245	234	14	16	28	16	21	17	28	13	22	13	16
HOMSTM000246	234	14	9	11	15	26	20	18	6	33	37	17
HOMSTM000247	234	14	16	14	7	22	34	27	8	18	13	18
HOMSTM000248	234	14	13	21	18	20	17	34	11	21	11	17
HOMSTM000249	233	14	13	24	11	23	14	35	12	23	14	14
HOMSTM000250	233	14	14	13	6	23	39	31	10	20	13	17
HOMSTM000251	233	14	4	13	4	16	25	20	4	18	26	8
HOMSTM000252	233	14	16	28	11	18	21	33	10	17	12	10
HOMSTM000253	231	14	13	16	12	18	25	26	11	24	13	15
HOMSTM000254	229	14	14	20	11	18	20	34	10	22	12	18
HOMSTM000255	229	14	11	20	10	19	21	33	9	21	14	27
HOMSTM000258	227	14	16	25	12	18	13	29	10	22	13	15
HOMSTM000259	227	14	8	8	17	8	21	13	13	28	7	63
HOMSTM000262	226	14	12	21	10	20	18	41	12	20	15	16
HOMSTM000263	225	14	13	19	17	15	17	29	11	20	12	16
HOMSTM000264	224	14	17	26	10	19	13	22	16	15	9	14
HOMSTM000265	224	14	11	20	8	17	12	30	15	20	9	22
HOMSTM000269	222	14	28	26	11	13	35	15	6	24	7	13
HOMSTM000270	222	14	12	20	10	19	19	34	9	18	16	12
HOMSTM000271	221	14	17	32	9	16	24	25	9	20	8	11
HOMSTM000272	221	14	16	21	10	18	15	24	12	20	10	13
HOMSTM000273	219	14	12	23	9	19	13	27	11	28	14	11
HOMSTM000274	219	14	13	18	10	13	21	25	13	18	14	14
HOMSTM000275	219	14	13	24	10	13	13	34	12	14	12	19
HOMSTM000277	216	14	15	23	9	16	15	28	11	19	8	10
HOMSTM000278	216	14	12	19	12	18	17	32	10	23	11	10
HOMSTM000279	216	14	11	15	8	15	39	21	8	24	10	24
HOMSTM000280	215	14	12	24	9	21	16	31	12	18	5	14
HOMSTM000281	215	14	13	19	10	18	14	23	9	17	14	11
HOMSTM000282	215	14	15	20	12	19	17	21	9	30	13	13
HOMSTM000283	215	14	11	26	10	19	13	31	8	16	12	10
HOMSTM000284	214	14	14	25	13	19	12	30	11	23	14	10
HOMSTM000285	214	14	11	20	12	17	6	39	11	20	10	13
HOMSTM000286	213	14	11	15	17	15	13	25	14	19	9	14
HOMSTM000287	213	14	15	23	8	14	20	40	7	14	9	11
HOMSTM000288	213	14	21	22	18	12	11	21	11	11	7	27
HOMSTM000289	213	14	16	22	10	19	11	24	10	15	12	13
HOMSTM000290	213	14	10	18	5	17	14	27	10	19	5	13
HOMSTM000291	212	14	11	20	11	17	24	33	10	21	13	16
HOMSTM000292	212	14	12	18	9	17	29	23	5	13	8	20
HOMSTM000293	211	14	14	22	7	13	16	27	11	19	9	12
HOMSTM000294	211	14	14	22	17	19	17	23	6	21	12	10
HOMSTM000295	209	14	12	19	8	17	15	28	12	12	14	12
HOMSTM000296	209	14	13	21	10	16	23	33	6	20	11	13
HOMSTM000297	209	14	12	18	12	18	16	31	13	25	9	13
HOMSTM000298	209	14	11	20	9	12	18	24	10	17	11	13
HOMSTM000299	209	14	13	23	9	18	12	14	8	17	19	19
HOMSTM000300	208	14	14	23	5	13	38	23	10	13	10	15
HOMSTM000301	208	14	11	19	9	16	14	28	12	18	7	15
HOMSTM000302	208	14	5	6	5	42	11	13	10	22	28	14
HOMSTM000303	208	14	11	18	8	29	15	22	9	17	12	17
HOMSTM000304	207	14	14	20	10	18	10	21	16	17	18	12
HOMSTM000305	207	14	6	3	7	19	11	13	7	29	8	50
HOMSTM000306	206	14	13	22	16	20	9	27	13	15	6	14
HOMSTM000307	206	14	11	19	10	20	18	32	9	17	10	11
HOMSTM000308	206	14	9	14	13	23	14	35	10	13	18	18
HOMSTM000309	206	14	11	18	10	16	15	29	14	18	10	16
HOMSTM000310	205	14	13	26	12	13	13	24	16	12	9	12
HOMSTM000311	204	14	10	13	11	19	27	25	13	13	23	10
HOMSTM000312	204	14	20	33	10	22	21	24	11	20	5	18
HOMSTM000313	204	14	13	19	11	21	19	25	12	19	10	15
HOMSTM000314	203	14	10	12	6	13	28	28	8	14	17	13
HOMSTM000316	203	14	11	16	9	20	22	21	11	18	11	12
HOMSTM000317	203	14	10	19	7	15	16	33	9	15	7	13
HOMSTM000318	203	14	19	20	9	10	42	7	4	16	6	17
HOMSTM000319	202	14	14	24	8	12	9	25	12	15	7	9
HOMSTM000320	201	14	9	16	8	18	13	17	11	8	11	11
HOMSTM000321	201	14	12	14	10	16	21	32	12	14	11	13
HOMSTM000322	200	14	12	26	7	18	13	25	8	23	8	23
HOMSTM000323	199	14	12	18	8	19	11	25	10	17	10	12
HOMSTM000324	198	14	13	7	9	27	16	19	8	17	14	13
HOMSTM000325	198	14	11	19	9	14	15	27	9	13	7	17
HOMSTM000326	198	14	1	3	6	17	27	23	4	23	18	3
HOMSTM000327	197	14	15	21	10	14	10	24	9	16	17	10
HOMSTM000328	197	14	10	18	9	18	14	28	9	19	11	16
HOMSTM000329	197	14	15	20	12	24	17	15	12	18	11	13
HOMSTM000330	197	14	8	8	6	22	17	28	10	23	21	9
HOMSTM000331	196	14	11	17	5	18	20	24	10	21	8	20
HOMSTM000332	196	14	9	16	11	19	16	28	11	25	7	20
HOMSTM000333	195	14	12	9	3	22	14	14	18	9	14	7
HOMSTM000334	195	14	10	26	5	17	15	25	12	15	8	12
HOMSTM000335	194	14	9	15	10	14	18	20	10	34	9	8
HOMSTM000336	193	14	15	22	8	15	11	23	10	18	9	13
HOMSTM000337	193	14	9	14	9	20	13	28	14	11	16	14
HOMSTM000338	192	14	8	15	4	17	34	21	3	35	18	3
HOMSTM000339	192	14	8	14	10	16	10	33	11	22	11	9
HOMSTM000340	192	14	8	11	6	8	27	16	7	9	6	64
HOMSTM000341	191	14	13	20	7	12	10	29	12	12	8	12
HOMSTM000343	190	14	14	20	7	14	12	27	11	13	6	12
HOMSTM000344	190	14	11	17	8	14	13	16	8	27	5	11
HOMSTM000345	190	14	11	31	7	17	13	15	7	20	9	9
HOMSTM000346	189	14	8	13	12	15	20	29	11	12	18	12
HOMSTM000347	188	14	13	22	8	17	13	30	10	11	8	14
HOMSTM000348	188	14	11	20	9	17	12	23	8	14	8	15
HOMSTM000349	188	14	1	2	13	12	23	20	8	19	11	4
HOMSTM000350	187	14	6	8	5	14	26	23	3	21	14	14
HOMSTM000352	187	14	14	25	6	12	11	27	11	15	8	13
HOMSTM000353	187	14	10	14	10	18	17	31	9	10	7	11
HOMSTM000354	186	14	13	26	10	15	16	16	6	16	12	11
HOMSTM000355	186	14	17	16	13	15	11	20	10	19	15	12
HOMSTM000356	186	14	10	14	12	14	13	27	10	9	12	20
HOMSTM000359	185	14	12	24	7	14	12	18	11	14	6	14
HOMSTM000360	185	14	14	24	10	7	17	18	23	23	11	34
HOMSTM000361	185	14	7	9	6	23	20	29	10	15	15	11
HOMSTM000362	184	14	14	21	7	13	17	30	7	13	7	10
HOMSTM000363	184	14	8	11	8	23	13	22	11	17	10	13
HOMSTM000364	184	14	12	23	6	15	12	19	8	10	8	13
HOMSTM000365	183	14	13	24	9	13	17	24	10	13	9	11
HOMSTM000366	183	14	14	12	6	26	13	21	8	15	8	23
HOMSTM000367	183	14	14	21	13	15	13	22	8	17	9	12
HOMSTM000368	182	14	14	22	7	14	17	25	7	21	5	13
HOMSTM000369	182	14	11	16	8	13	14	26	11	17	11	14
HOMSTM000370	182	14	12	19	10	15	16	19	9	17	10	10
HOMSTM000372	181	14	9	16	8	17	16	33	10	13	12	11
HOMSTM000373	181	14	11	15	11	13	17	21	8	8	11	12
HOMSTM000374	180	14	10	23	5	17	14	21	10	21	10	10
HOMSTM000375	180	14	8	16	8	16	12	24	10	13	12	10
HOMSTM000376	179	14	9	9	7	15	20	23	6	14	14	15
HOMSTM000377	179	14	9	16	10	20	10	26	8	11	10	13
HOMSTM000378	178	14	13	30	7	11	7	13	8	22	6	9
HOMSTM000379	178	14	10	14	9	16	23	18	8	20	10	6
HOMSTM000380	178	14	8	16	6	13	13	19	13	11	10	12
HOMSTM000381	177	14	13	19	8	17	10	22	10	16	9	13
HOMSTM000382	177	14	5	9	2	9	2	9	3	55	1	3
HOMSTM000383	177	14	14	29	7	8	7	15	7	16	8	11
HOMSTM000384	177	14	16	18	10	8	14	22	7	12	8	13
HOMSTM000386	176	14	15	17	6	11	39	14	8	10	11	17
HOMSTM000387	175	14	13	18	8	13	14	23	9	19	9	9
HOMSTM000390	174	14	9	17	14	14	13	16	12	15	16	13
HOMSTM000391	173	14	14	26	5	14	9	21	12	12	7	15
HOMSTM000392	173	14	10	16	7	11	17	24	9	16	9	12
HOMSTM000393	173	14	6	12	6	8	14	23	6	10	5	13
HOMSTM000395	172	14	10	16	12	12	14	24	9	14	9	12
HOMSTM000396	172	14	12	22	7	11	12	26	5	13	7	18
HOMSTM000397	172	14	5	6	4	9	28	9	9	31	8	14
HOMSTM000398	171	14	9	15	11	13	17	19	7	15	13	17
HOMSTM000399	171	14	7	11	8	26	24	31	10	13	10	7
HOMSTM000400	171	14	9	16	6	19	11	27	13	16	6	11
HOMSTM000401	171	14	8	13	11	17	14	16	7	10	20	8
HOMSTM000402	171	14	9	13	5	12	10	22	9	12	7	14
HOMSTM000403	170	14	11	14	9	18	13	21	5	16	6	14
HOMSTM000404	170	14	9	17	7	17	11	23	11	12	11	9
HOMSTM000405	169	14	11	16	10	13	13	21	7	13	8	9
HOMSTM000406	169	14	10	17	10	14	11	22	9	18	7	10
HOMSTM000407	169	14	10	23	7	14	10	20	8	14	8	9
HOMSTM000408	168	14	7	15	5	15	32	12	9	12	15	9
HOMSTM000409	168	14	9	14	8	13	15	18	7	12	11	16
HOMSTM000410	168	14	11	21	6	10	10	23	7	11	17	12
HOMSTM000411	167	14	8	14	7	20	10	20	9	17	9	11
HOMSTM000412	167	14	8	13	10	5	20	26	3	38	8	7
HOMSTM000414	167	14	9	19	9	15	11	25	7	11	9	9
HOMSTM000415	166	14	9	13	9	9	11	24	6	16	5	8
HOMSTM000416	166	14	9	18	7	15	11	20	6	20	8	10
HOMSTM000417	166	14	13	15	3	8	42	2	5	22	1	8
HOMSTM000418	166	14	13	22	5	11	11	14	5	9	11	5
HOMSTM000419	166	14	6	7	4	28	17	42	5	7	8	7
HOMSTM000420	166	14	8	14	6	12	16	20	6	15	7	14
HOMSTM000422	165	14	11	22	8	10	12	19	8	10	11	7
HOMSTM000423	165	14	11	13	5	12	22	17	7	13	5	15
HOMSTM000424	165	14	9	13	10	10	11	26	7	14	8	15
HOMSTM000425	165	14	10	13	6	11	18	22	9	13	9	10
HOMSTM000426	165	14	10	21	7	14	11	21	11	14	8	14
HOMSTM000427	164	14	16	23	8	15	12	24	8	13	1	7
HOMSTM000428	164	14	13	13	6	18	12	14	7	14	7	13
HOMSTM000429	164	14	7	9	4	9	7	5	2	11	4	5
HOMSTM000430	164	14	10	15	11	11	11	19	11	12	9	10
HOMSTM000431	164	14	9	15	7	15	16	19	9	13	6	15
HOMSTM000432	163	14	10	15	7	14	14	19	11	12	6	9
HOMSTM000434	163	14	23	24	7	7	47	10	4	6	3	16
HOMSTM000435	163	14	10	14	16	16	6	19	9	21	10	8
HOMSTM000436	162	14	7	17	4	9	8	21	11	15	7	12
HOMSTM000437	162	14	10	17	8	15	16	15	7	11	10	13
HOMSTM000438	162	14	11	10	19	17	1	4	1	2	14	21
HOMSTM000439	161	14	9	19	7	12	10	20	6	22	8	11
HOMSTM000440	161	14	8	12	10	14	10	18	9	15	12	10
HOMSTM000441	160	14	8	10	11	10	19	17	11	18	8	10
HOMSTM000442	159	14	12	24	8	13	13	14	11	10	8	9
HOMSTM000443	159	14	6	12	8	12	27	26	6	9	9	11
HOMSTM000444	158	14	6	14	12	13	21	18	4	29	12	12
HOMSTM000445	158	14	8	15	7	8	13	25	8	13	8	13
HOMSTM000447	157	14	11	16	8	11	13	22	11	17	10	17
HOMSTM000448	157	14	7	9	7	21	19	18	6	16	9	12
HOMSTM000449	157	14	8	15	9	16	10	20	10	10	6	12
HOMSTM000450	157	14	7	14	9	14	11	18	9	15	9	9
HOMSTM000451	156	14	7	14	7	11	14	17	8	15	6	10
HOMSTM000452	156	14	10	18	7	13	8	21	6	16	7	10
HOMSTM000453	156	14	8	17	5	10	10	15	7	15	3	12
HOMSTM000455	155	14	11	20	7	14	9	15	3	15	11	4
HOMSTM000456	155	14	9	13	6	14	18	16	6	15	13	12
HOMSTM000457	155	14	15	23	8	14	9	14	9	21	7	7
HOMSTM000458	155	14	4	2	4	14	18	11	8	27	5	10
HOMSTM000459	154	14	10	22	7	14	6	22	8	12	9	11
HOMSTM000460	154	14	9	19	5	11	7	18	8	20	4	8
HOMSTM000461	154	14	10	16	7	12	9	14	8	15	6	7
HOMSTM000462	154	14	7	14	8	21	10	15	11	12	11	8
HOMSTM000463	154	14	10	15	5	11	11	26	6	10	9	8
HOMSTM000464	154	14	2	2	5	15	12	13	9	34	7	40
HOMSTM000465	153	14	9	14	4	16	9	15	7	13	17	9
HOMSTM000467	152	14	6	13	6	20	8	16	10	19	8	11
HOMSTM000468	152	14	13	23	7	9	15	20	6	10	9	8
HOMSTM000469	152	14	7	13	8	13	7	23	10	13	11	9
HOMSTM000470	152	14	7	5	6	9	22	12	8	2	13	35
HOMSTM000471	152	14	14	25	7	10	10	20	5	10	9	9
HOMSTM000472	152	14	7	10	12	10	18	16	9	17	8	7
HOMSTM000474	151	14	9	14	9	15	12	19	8	6	12	9
HOMSTM000475	151	14	10	17	8	12	13	18	8	13	8	11
HOMSTM000476	151	14	9	14	7	15	11	23	10	12	7	10
HOMSTM000478	150	14	8	16	8	10	7	16	7	19	6	10
HOMSTM000479	150	14	6	8	3	14	14	20	8	19	14	13
HOMSTM000480	149	14	8	17	7	12	13	21	10	15	7	11
HOMSTM000482	148	14	4	13	3	24	16	9	5	13	34	5
HOMSTM000483	148	14	8	13	10	11	8	21	8	10	8	13
HOMSTM000484	148	14	9	19	7	15	8	15	8	12	7	10
HOMSTM000485	148	14	7	8	15	10	15	17	5	13	7	9
